index,osmid_original,y,x,lon,lat,street_count
3057,151506624,3321343.2403483177,611348.2435681331,-97.845337,30.018018,3
3058,151533270,3321284.151025237,611324.6303156996,-97.845588,30.017487,3
3060,151473265,3324257.216253089,582694.6485241675,-98.142211,30.046584,3
3061,151571625,3324323.0799635267,582669.858713263,-98.142463,30.04718,3
3062,151508071,3324206.6843313975,582709.7786719006,-98.142058,30.046127,3
3063,11184987100,3322593.404783682,617149.8576940104,-97.7850487,30.0287561,3
3064,151473372,3320635.2131691743,618953.5376215865,-97.7665652,30.0109143,3
3065,151473521,3344122.3421430914,586005.7262535829,-98.106255,30.225605,3
3066,151474125,3344758.869295756,585602.7958644651,-98.11039,30.231377,3
3067,151473615,3327892.658632137,611979.9331965372,-97.838098,30.0770537,3
3068,151473625,3327694.27131895,611983.4437733111,-97.8380825,30.0752634,3
3069,151485434,3327894.402276122,612058.7649354866,-97.83728,30.0770622,3
3070,151485423,3327891.183567795,611913.3020824585,-97.8387894,30.0770465,3
3071,151473630,3327608.0462904065,611982.5946850217,-97.8381004,30.0744855,3
3072,151551806,3327694.224477999,612094.3656819453,-97.8369318,30.0752528,4
3073,151501835,3327699.674127341,611835.5676789897,-97.839616,30.0753257,3
3074,151473656,3323985.6555226827,615369.4335571489,-97.803359,30.041487,3
3075,151546317,3324129.4450668255,615349.8497420405,-97.8035465,30.0427862,3
3076,151546299,3323910.9077353384,615271.6934097084,-97.8043807,30.0408218,3
3077,151473671,3325669.983861912,594522.32210366,-98.0194114,30.0584744,3
3078,151473739,3321806.9189002137,582169.6016664068,-98.147846,30.024509,3
3079,151473751,3321814.785530391,582243.7977812932,-98.147076,30.024575,3
3080,151496562,3321914.771017206,582172.752747503,-98.147805,30.025482,4
3081,151473766,3321809.0330961933,582349.2437662949,-98.145983,30.024516,3
3082,151473785,3321813.0297613004,582454.1349155435,-98.144895,30.024545,3
3083,151473797,3328307.2353759957,611459.5256750273,-97.8434533,30.0808419,4
3084,151499674,3328209.109276019,611410.6849648624,-97.8439703,30.079961,3
3085,151506271,3328409.128582052,611506.0333051321,-97.8429601,30.081757,3
3086,151537592,3328338.9697610517,611396.2915657691,-97.844106,30.081134,4
3087,151473823,3328247.118127498,611630.0786502978,-97.8416902,30.0802839,3
3088,151473841,3328210.607541561,611764.2766338364,-97.8403018,30.0799422,3
3089,151498347,3328086.670980552,611767.1630995929,-97.8402849,30.0788237,3
3090,151473849,3319127.254098584,608389.2765416899,-97.8762414,29.9982891,3
3091,151564213,3319188.092292609,608325.2428963238,-97.876899,29.9988437,3
3092,151507437,3325034.0735192383,597442.6845715633,-97.9891773,30.0525071,3
3093,151473927,3325565.129714803,596369.4446136565,-98.000261,30.057384,3
3094,151473958,3341063.6727638664,594502.9975365382,-98.0182384,30.1973748,3
