Name,Latitude,Longitude,Address,Hour Status
Lago Vista Middle School,30.4805625,-97.9768125,"20801 RM 1431, Lago Vista, TX 78645",[]
RITUAL North Shore,30.496562500000003,-97.9233125,"18601 RM 1431 Ste. 105, Jonestown, TX 78645",[]
Bohemian Barbecue,30.5054375,-97.9331875,"11370 Mountain Top Cir, Jonestown, TX 78645",[]
Lago Vista Elementary School,30.4530625,-97.9824375,"20311 Dawn Dr, Lago Vista, TX 78645",[]
Sail Austin Charters - North Shore,30.4426875,-97.9339375,"6612 Lantern View Dr, Jonestown, TX 78645","['0% busy at 6\u202fAM.', '16% busy at 7\u202fAM.', '33% busy at 8\u202fAM.', '25% busy at 9\u202fAM.', '58% busy at 10\u202fAM.', '66% busy at 11\u202fAM.', '100% busy at 12\u202fPM.', '50% busy at 1\u202fPM.', '25% busy at 2\u202fPM.', '8% busy at 3\u202fPM.', '25% busy at 4\u202fPM.', '75% busy at 5\u202fPM.', '66% busy at 6\u202fPM.', '75% busy at 7\u202fPM.', '66% busy at 8\u202fPM.', '33% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 11\u202fPM.', '0% busy at 6\u202fAM.', '25% busy at 7\u202fAM.', '16% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '0% busy at 11\u202fAM.', '0% busy at 12\u202fPM.', '8% busy at 1\u202fPM.', '16% busy at 2\u202fPM.', '8% busy at 3\u202fPM.', '0% busy at 4\u202fPM.', '8% busy at 5\u202fPM.', '25% busy at 6\u202fPM.', '33% busy at 7\u202fPM.', '25% busy at 8\u202fPM.', '33% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 11\u202fPM.', '0% busy at 6\u202fAM.', '33% busy at 7\u202fAM.', '91% busy at 8\u202fAM.', '66% busy at 9\u202fAM.', '83% busy at 10\u202fAM.', '41% busy at 11\u202fAM.', '41% busy at 12\u202fPM.', '25% busy at 1\u202fPM.', '8% busy at 2\u202fPM.', '0% busy at 3\u202fPM.', '0% busy at 4\u202fPM.', '0% busy at 5\u202fPM.', '8% busy at 6\u202fPM.', '16% busy at 7\u202fPM.', '16% busy at 8\u202fPM.', '25% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 11\u202fPM.', '0% busy at 6\u202fAM.', '8% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '0% busy at 11\u202fAM.', '8% busy at 12\u202fPM.', '33% busy at 1\u202fPM.', '25% busy at 2\u202fPM.', '50% busy at 3\u202fPM.', '41% busy at 4\u202fPM.', '33% busy at 5\u202fPM.', '25% busy at 6\u202fPM.', '25% busy at 7\u202fPM.', '8% busy at 8\u202fPM.', '0% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 11\u202fPM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '8% busy at 8\u202fAM.', '16% busy at 9\u202fAM.', '8% busy at 10\u202fAM.', '8% busy at 11\u202fAM.', '0% busy at 12\u202fPM.', '8% busy at 1\u202fPM.', '16% busy at 2\u202fPM.', '16% busy at 3\u202fPM.', '25% busy at 4\u202fPM.', '58% busy at 5\u202fPM.', '83% busy at 6\u202fPM.', '75% busy at 7\u202fPM.', '100% busy at 8\u202fPM.', '58% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 11\u202fPM.', '0% busy at 6\u202fAM.', '8% busy at 7\u202fAM.', '25% busy at 8\u202fAM.', '33% busy at 9\u202fAM.', '50% busy at 10\u202fAM.', '33% busy at 11\u202fAM.', '33% busy at 12\u202fPM.', '41% busy at 1\u202fPM.', '16% busy at 2\u202fPM.', '8% busy at 3\u202fPM.', '8% busy at 4\u202fPM.', '16% busy at 5\u202fPM.', '33% busy at 6\u202fPM.', '16% busy at 7\u202fPM.', '8% busy at 8\u202fPM.', '0% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 11\u202fPM.', '0% busy at 6\u202fAM.', '41% busy at 7\u202fAM.', '16% busy at 8\u202fAM.', '16% busy at 9\u202fAM.', '25% busy at 10\u202fAM.', '16% busy at 11\u202fAM.', '25% busy at 12\u202fPM.', '25% busy at 1\u202fPM.', '8% busy at 2\u202fPM.', '0% busy at 3\u202fPM.', '0% busy at 4\u202fPM.', '8% busy at 5\u202fPM.', '25% busy at 6\u202fPM.', '58% busy at 7\u202fPM.', '33% busy at 8\u202fPM.', '8% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 11\u202fPM.']"
Lago Vista High School,30.4411875,-97.9789375,"5185 Lohman Ford Rd, Lago Vista, TX 78645",[]
Lago Vista Classical School,30.4550625,-97.9903125,"20811 Dawn Dr, Lago Vista, TX 78645",[]
Lago Vista Intermediate School,30.4790625,-97.9769375,"8039 Bar K Ranch Rd, Lago Vista, TX 78645",[]
Lago Vista Academy,30.4550625,-97.9793125,"6307 Lohman Ford Rd #100, Lago Vista, TX 78645",[]
Lago Vista High School Stadium,30.4386875,-97.9768125,"5185 Lohman Ford Rd, Leander, TX 78645",[]
