Index,SubIndex,ChargerNumber,trainingEVdemand,center,avg_volt
1083,6,2.0,0.428571428571429,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,7,2.0,0.285714285714286,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,8,2.0,0.142857142857143,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,9,2.0,0.142857142857143,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,10,2.0,0.285714285714286,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,11,2.0,0.285714285714286,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,12,2.0,0.428571428571429,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,13,2.0,0.285714285714286,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,14,2.0,0.285714285714286,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,15,2.0,0.428571428571429,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,16,2.0,0.714285714285714,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,17,2.0,0.857142857142857,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,18,2.0,0.571428571428571,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,19,2.0,0.428571428571429,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,20,2.0,0.285714285714286,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,21,2.0,0.142857142857143,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,22,2.0,0.142857142857143,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1083,23,2.0,0.142857142857143,"(-10877243.126924174, 3533929.709796484)",1.0255647935057728
1084,0,1.0,0.142857142857143,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,1,1.0,0.285714285714286,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,2,1.0,0.285714285714286,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,3,1.0,0.285714285714286,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,4,1.0,0.285714285714286,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,5,1.0,0.142857142857143,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,6,1.0,0.142857142857143,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,7,1.0,0.142857142857143,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,8,1.0,0.142857142857143,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,9,1.0,0.428571428571429,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,10,1.0,0.285714285714286,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,11,1.0,0.0,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,12,1.0,0.0,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,13,1.0,0.0,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,14,1.0,0.285714285714286,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,15,1.0,0.285714285714286,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,16,1.0,0.0,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,17,1.0,0.142857142857143,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
