PrimaryIndex,Hour,EV_demand_pred,center,avg_volt
63,10,0.55711985,"(-10863430.816974942, 3554073.7526442404)",1.0426536770339694
63,11,0.55711985,"(-10863430.816974942, 3554073.7526442404)",1.0426536770339694
63,12,0.55711985,"(-10863430.816974942, 3554073.7526442404)",1.0426536770339694
63,13,0.55711985,"(-10863430.816974942, 3554073.7526442404)",1.0426536770339694
63,14,0.55711985,"(-10863430.816974942, 3554073.7526442404)",1.0426536770339694
63,15,0.55711985,"(-10863430.816974942, 3554073.7526442404)",1.0426536770339694
63,16,0.55711985,"(-10863430.816974942, 3554073.7526442404)",1.0426536770339694
63,17,0.55711985,"(-10863430.816974942, 3554073.7526442404)",1.0426536770339694
63,18,0.55711985,"(-10863430.816974942, 3554073.7526442404)",1.0426536770339694
63,19,0.55711985,"(-10863430.816974942, 3554073.7526442404)",1.0426536770339694
63,20,0.55711985,"(-10863430.816974942, 3554073.7526442404)",1.0426536770339694
63,21,0.55711985,"(-10863430.816974942, 3554073.7526442404)",1.0426536770339694
63,22,0.55711985,"(-10863430.816974942, 3554073.7526442404)",1.0426536770339694
63,23,0.55711985,"(-10863430.816974942, 3554073.7526442404)",1.0426536770339694
64,0,1.3959191,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,1,1.3498697,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,2,1.288634,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,3,1.3804348,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,4,1.3447005,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,5,1.224416,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,6,1.4105711,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,7,1.2763207,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,8,1.2350646,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,9,1.1825912,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,10,1.2388282,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,11,1.1774936,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,12,1.1856045,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,13,1.1835595,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,14,1.1891018,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,15,1.1821599,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,16,1.1821599,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,17,1.1796179,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,18,1.19066,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,19,1.1839695,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,20,1.1241096,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,21,1.2637581,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,22,1.216071,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
64,23,1.3625848,"(-10863430.816974942, 3560373.7526442404)",1.0067632241250315
68,0,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,1,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,2,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,3,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,4,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,5,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,6,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,7,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,8,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,9,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,10,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,11,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,12,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,13,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,14,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,15,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,16,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,17,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,18,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,19,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,20,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,21,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,22,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
68,23,0.17556222,"(-10857130.816974942, 3522573.7526442404)",0.9924647128484254
69,0,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,1,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,2,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,3,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,4,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,5,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,6,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,7,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,8,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,9,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,10,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,11,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,12,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,13,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,14,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,15,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,16,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,17,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,18,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,19,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,20,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,21,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,22,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
69,23,0.17556222,"(-10857130.816974942, 3528873.7526442404)",1.0215896649165206
70,0,2.1118748,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,1,2.1118748,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,2,2.1118748,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,3,2.1118748,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,4,2.1315076,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,5,2.473387,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,6,2.7275853,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,7,2.6892028,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,8,2.6882555,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,9,2.6431108,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,10,2.681093,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,11,2.7260268,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,12,2.8765693,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,13,2.8673053,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,14,2.916714,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,15,2.9778006,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,16,2.9428213,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,17,2.8501027,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,18,2.8501027,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,19,2.9528983,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,20,2.912827,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,21,2.6943896,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,22,2.5470147,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
70,23,2.1210346,"(-10857130.816974942, 3535173.7526442404)",1.0189927364189555
71,0,0.6638783,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,1,0.6638783,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,2,0.6638783,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,3,0.6638783,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,4,0.6638783,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,5,0.6638783,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,6,0.6638783,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
